season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2005,8,Wigan Athletic,0.0,0.0,Bolton,2.0,1.0,0,Alan Wiley,Wigan Athletic,Bolton,b4f3a961-36d0-52dd-8238-95a11f7b189a,30e0e36d-7ff0-5ecf-92fb-ca021dc67c00,3acbdfcb-9315-529b-b0a7-798ff2b15c22,Wigan Athletic,Bolton,Bolton_Wigan Athletic,Bolton_Wigan Athletic_2005
2005,25,Bolton,0.0,0.0,Wigan Athletic,1.0,1.0,0,Stephen Bennett,draw,draw,e64890a2-9dd8-5204-ab10-172f637a4c0c,30e0e36d-7ff0-5ecf-92fb-ca021dc67c00,3acbdfcb-9315-529b-b0a7-798ff2b15c22,Bolton,Wigan Athletic,Bolton_Wigan Athletic,Bolton_Wigan Athletic_2005
2006,11,Bolton,0.0,0.0,Wigan Athletic,0.0,1.0,0,Mark Clattenburg,Wigan Athletic,Bolton,ed0577aa-0346-5930-9a9f-3c06515a5065,30e0e36d-7ff0-5ecf-92fb-ca021dc67c00,415bb043-8fd7-56d0-be66-2a4c4e47b74b,Bolton,Wigan Athletic,Bolton_Wigan Athletic,Bolton_Wigan Athletic_2006
2006,32,Wigan Athletic,0.0,0.0,Bolton,1.0,3.0,0,Uriah Rennie,Bolton,Wigan Athletic,dfc2930f-760c-5994-99f6-bd6034e3cf71,30e0e36d-7ff0-5ecf-92fb-ca021dc67c00,415bb043-8fd7-56d0-be66-2a4c4e47b74b,Wigan Athletic,Bolton,Bolton_Wigan Athletic,Bolton_Wigan Athletic_2006
2007,16,Bolton,0.0,0.0,Wigan Athletic,4.0,1.0,0,Martin Atkinson,Bolton,Wigan Athletic,8e3a3853-c30a-5614-8c3e-397b11e5389f,30e0e36d-7ff0-5ecf-92fb-ca021dc67c00,554641f2-3e02-5b9a-96bf-764b58ccff19,Bolton,Wigan Athletic,Bolton_Wigan Athletic,Bolton_Wigan Athletic_2007
2007,30,Wigan Athletic,0.0,0.0,Bolton,1.0,0.0,0,Steve Tanner,Wigan Athletic,Bolton,313f4585-e55c-5c02-b758-5974bd2212d2,30e0e36d-7ff0-5ecf-92fb-ca021dc67c00,554641f2-3e02-5b9a-96bf-764b58ccff19,Wigan Athletic,Bolton,Bolton_Wigan Athletic,Bolton_Wigan Athletic_2007
2008,20,Bolton,0.0,0.0,Wigan Athletic,0.0,1.0,0,Phil Dowd,Wigan Athletic,Bolton,cf61c14b-9cb9-5539-9649-fdecf46d7269,30e0e36d-7ff0-5ecf-92fb-ca021dc67c00,188b94a2-b53a-5a9e-a939-3091b732326c,Bolton,Wigan Athletic,Bolton_Wigan Athletic,Bolton_Wigan Athletic_2008
2008,35,Wigan Athletic,0.0,0.0,Bolton,0.0,0.0,0,Mike Jones,draw,draw,582916c3-621f-5734-b153-9db21259744a,30e0e36d-7ff0-5ecf-92fb-ca021dc67c00,188b94a2-b53a-5a9e-a939-3091b732326c,Wigan Athletic,Bolton,Bolton_Wigan Athletic,Bolton_Wigan Athletic_2008
2009,18,Wigan Athletic,0.0,0.0,Bolton,0.0,0.0,0,Howard Webb,draw,draw,2580d237-45e3-523a-ab38-68954bdd9025,30e0e36d-7ff0-5ecf-92fb-ca021dc67c00,837a04dd-94b7-579f-b994-c2c06dfecb23,Wigan Athletic,Bolton,Bolton_Wigan Athletic,Bolton_Wigan Athletic_2009
2009,30,Bolton,0.0,0.0,Wigan Athletic,4.0,0.0,0,Mike Dean,Bolton,Wigan Athletic,75335a19-674f-5091-8d6d-03ab0a7d2228,30e0e36d-7ff0-5ecf-92fb-ca021dc67c00,837a04dd-94b7-579f-b994-c2c06dfecb23,Bolton,Wigan Athletic,Bolton_Wigan Athletic,Bolton_Wigan Athletic_2009
2010,9,Wigan Athletic,0.0,0.0,Bolton,1.0,1.0,0,Howard Webb,draw,draw,81f0e31f-87e2-52ff-b10f-8f6f282417c0,30e0e36d-7ff0-5ecf-92fb-ca021dc67c00,f2e325cc-6a52-524a-a902-f7f720d8e1a7,Wigan Athletic,Bolton,Bolton_Wigan Athletic,Bolton_Wigan Athletic_2010
2010,22,Bolton,0.0,0.0,Wigan Athletic,1.0,1.0,0,Phil Dowd,draw,draw,01636143-1c13-54c5-bfb4-186afc59beb8,30e0e36d-7ff0-5ecf-92fb-ca021dc67c00,f2e325cc-6a52-524a-a902-f7f720d8e1a7,Bolton,Wigan Athletic,Bolton_Wigan Athletic,Bolton_Wigan Athletic_2010
2011,8,Wigan Athletic,0.0,0.0,Bolton,1.0,3.0,0,Mike Dean,Bolton,Wigan Athletic,7718e014-ffb8-508d-84b3-ce8f053df061,30e0e36d-7ff0-5ecf-92fb-ca021dc67c00,89d9dac2-11c7-5289-ac61-9eb50f726790,Wigan Athletic,Bolton,Bolton_Wigan Athletic,Bolton_Wigan Athletic_2011
2011,25,Bolton,0.0,0.0,Wigan Athletic,1.0,2.0,0,Howard Webb,Wigan Athletic,Bolton,ef62a3bf-7221-5290-98fe-157f89b03b6e,30e0e36d-7ff0-5ecf-92fb-ca021dc67c00,89d9dac2-11c7-5289-ac61-9eb50f726790,Bolton,Wigan Athletic,Bolton_Wigan Athletic,Bolton_Wigan Athletic_2011
