season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
1992,19,Southampton,0.0,0.0,Coventry City,2.0,2.0,0,Bob Nixon,draw,draw,ab24a949-ed92-547a-94d0-5e0b8cdc4a8e,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,bfaa2134-3a0b-5883-adda-479babd151ff,Southampton,Coventry City,Coventry City_Southampton,Coventry City_Southampton_1992
1992,37,Coventry City,0.0,0.0,Southampton,2.0,0.0,0,Keith Cooper,Coventry City,Southampton,f4bb5cfd-810a-5113-8e26-605c6a1da422,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,bfaa2134-3a0b-5883-adda-479babd151ff,Coventry City,Southampton,Coventry City_Southampton,Coventry City_Southampton_1992
1993,11,Coventry City,0.0,0.0,Southampton,1.0,1.0,0,Joe Worrall,draw,draw,b2ca7ce2-adc9-5c24-bf6b-54f853bbf45c,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,8d75d35c-3d56-57f7-b42f-b90c2c7f4035,Coventry City,Southampton,Coventry City_Southampton,Coventry City_Southampton_1993
1993,26,Southampton,0.0,0.0,Coventry City,1.0,0.0,0,Philip Don,Southampton,Coventry City,ec586699-e3c5-5985-b79f-014c3886c269,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,8d75d35c-3d56-57f7-b42f-b90c2c7f4035,Southampton,Coventry City,Coventry City_Southampton,Coventry City_Southampton_1993
1994,7,Coventry City,0.0,0.0,Southampton,1.0,3.0,0,Kelvin Morton,Southampton,Coventry City,e1712029-793f-52fd-8b21-d0cd4dac17c5,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,37389f03-c52d-5918-a078-855246684dbc,Coventry City,Southampton,Coventry City_Southampton,Coventry City_Southampton_1994
1994,32,Southampton,0.0,0.0,Coventry City,0.0,0.0,0,Kelvin Morton,draw,draw,c45afc60-8e8a-581d-9dfe-ee1013dcfde9,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,37389f03-c52d-5918-a078-855246684dbc,Southampton,Coventry City,Coventry City_Southampton,Coventry City_Southampton_1994
1995,22,Coventry City,0.0,0.0,Southampton,1.0,1.0,0,Keith Cooper,draw,draw,cd106e16-39c3-593c-bfbc-5de711c6ad62,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,574d9ca7-c612-5892-a157-56726f7f9d80,Coventry City,Southampton,Coventry City_Southampton,Coventry City_Southampton_1995
1995,32,Southampton,0.0,0.0,Coventry City,1.0,0.0,0,Stephen Lodge,Southampton,Coventry City,15ee8d21-f035-5ecb-b7e6-7637a7d667e4,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,574d9ca7-c612-5892-a157-56726f7f9d80,Southampton,Coventry City,Coventry City_Southampton,Coventry City_Southampton_1995
1996,9,Coventry City,0.0,0.0,Southampton,1.0,1.0,0,Paul Durkin,draw,draw,80a45f19-e22a-5b5f-b9e2-5e91035b4592,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,2cfd961a-4ad4-5a27-92e2-3c7861ae36b0,Coventry City,Southampton,Coventry City_Southampton,Coventry City_Southampton_1996
1996,35,Southampton,0.0,0.0,Coventry City,2.0,2.0,0,Peter Jones,draw,draw,50d48223-99ee-526c-84b5-9ed77d7a4d2c,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,2cfd961a-4ad4-5a27-92e2-3c7861ae36b0,Southampton,Coventry City,Coventry City_Southampton,Coventry City_Southampton_1996
1997,6,Coventry City,0.0,0.0,Southampton,1.0,0.0,0,Uriah Rennie,Coventry City,Southampton,0cf9828c-f3f7-57d4-9a62-dd2f6594d315,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,3b05104a-b13b-5273-af83-3af4eaddfa92,Coventry City,Southampton,Coventry City_Southampton,Coventry City_Southampton_1997
1997,26,Southampton,0.0,0.0,Coventry City,1.0,2.0,0,Paul Alcock,Coventry City,Southampton,4ada10b5-66c3-5a08-815f-44e28dfe4521,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,3b05104a-b13b-5273-af83-3af4eaddfa92,Southampton,Coventry City,Coventry City_Southampton,Coventry City_Southampton_1997
1998,10,Southampton,0.0,0.0,Coventry City,2.0,1.0,0,Rob Harris,Southampton,Coventry City,528f5847-d2dd-5856-ad3c-618a1fdad29f,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,8613635b-6753-5379-b81f-b6cc4b5cf53c,Southampton,Coventry City,Coventry City_Southampton,Coventry City_Southampton_1998
1998,32,Coventry City,0.0,0.0,Southampton,1.0,0.0,0,Uriah Rennie,Coventry City,Southampton,7358aa0b-6db2-5a3b-8012-f918b746fbbc,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,8613635b-6753-5379-b81f-b6cc4b5cf53c,Coventry City,Southampton,Coventry City_Southampton,Coventry City_Southampton_1998
1999,1,Coventry City,0.0,0.0,Southampton,0.0,1.0,0,Peter Jones,Southampton,Coventry City,e57aaa69-8bb5-511a-83f3-c4b99c780fd9,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,5cf27a7d-f106-5da8-9271-9055d46a6379,Coventry City,Southampton,Coventry City_Southampton,Coventry City_Southampton_1999
1999,17,Southampton,0.0,0.0,Coventry City,0.0,0.0,0,Jeff Winter,draw,draw,66896571-2ac4-5ffb-a356-c4fc3102b087,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,5cf27a7d-f106-5da8-9271-9055d46a6379,Southampton,Coventry City,Coventry City_Southampton,Coventry City_Southampton_1999
2000,2,Southampton,0.0,0.0,Coventry City,1.0,2.0,0,Paul Taylor,Coventry City,Southampton,1e77cdb1-e031-5167-8a88-4e4587b1a762,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,6245ca21-a02b-5809-a673-5484e5265d41,Southampton,Coventry City,Coventry City_Southampton,Coventry City_Southampton_2000
2000,19,Coventry City,0.0,0.0,Southampton,1.0,1.0,0,Alan Wiley,draw,draw,67033c4a-be7f-570d-baf5-d8976156074a,4fd2fe6d-baeb-56ae-992b-6fa7fbd55aad,6245ca21-a02b-5809-a673-5484e5265d41,Coventry City,Southampton,Coventry City_Southampton,Coventry City_Southampton_2000
