matchup_merge_key,player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
5a8f9089-1b3a-55e6-85a5-91a625d3c46f,Charlie Austin,ENG,28.0,90.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,31.0,0.0,0.0,1.0,0.8,0.8,0.3,3.0,0.0,18.0,22.0,81.8,0.0,21.0,0.0,0.0,0.0,230.0,19.0,10.0,10.0,100.0,6.0,7.0,85.7,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,12.0,17.0,4.0,31.0,0.0,0.0,0.0,44.0,6.0,1.0,0.0,1.0,2.0,25.0,5.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,6.0,25.0,True,2017-2018,FW,None,None,None,1.0,Leicester City_Southampton,Leicester City_Southampton_2017,1.5,1.8,1.0,4.0,2017-12-13,Chris Kavanagh,St. Mary's Stadium,Wed,19:45,"27,714",180,Leicester City,Southampton,762c67d1-0dc6-5730-9432-946f86c02ab0,28.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,31.0,0.0,0.0,1.0,0.8,0.8,0.3,3.0,0.0,18.0,22.0,81.8,0.0,21.0,0.0,0.0,0.0,230.0,19.0,10.0,10.0,100.0,6.0,7.0,85.7,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,12.0,17.0,4.0,31.0,0.0,0.0,0.0,44.0,6.0,1.0,0.0,1.0,2.0,25.0,5.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,6.0,25.0,1.0,1.5,1.8,1.0,4.0,180.0
5a8f9089-1b3a-55e6-85a5-91a625d3c46f,Sofiane Boufal,MAR,24.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,3.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,18.0,24.0,75.0,3.0,26.0,7.0,3.0,1.0,314.0,110.0,8.0,11.0,72.7,5.0,6.0,83.3,4.0,4.0,100.0,0.2,3.0,3.0,1.0,0.0,22.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,4.0,50.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,16.0,16.0,3.0,37.0,33.3,2.0,66.7,198.0,149.0,1.0,3.0,4.0,2.0,27.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,50.0,True,2017-2018,LW,None,None,None,0.6777777777777778,Leicester City_Southampton,Leicester City_Southampton_2017,1.5,1.8,1.0,4.0,2017-12-13,Chris Kavanagh,St. Mary's Stadium,Wed,19:45,"27,714",180,Leicester City,Southampton,762c67d1-0dc6-5730-9432-946f86c02ab0,35.40983606557377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.59016393442623,4.426229508196721,0.0,0.0,0.0,0.0,0.44262295081967207,4.426229508196721,0.0,26.557377049180328,35.40983606557377,110.65573770491802,4.426229508196721,38.36065573770492,10.327868852459016,4.426229508196721,1.4754098360655736,463.27868852459017,162.2950819672131,11.803278688524589,16.229508196721312,107.26229508196721,7.377049180327869,8.852459016393443,122.90163934426228,5.9016393442622945,5.9016393442622945,147.54098360655738,0.29508196721311475,4.426229508196721,4.426229508196721,1.4754098360655736,0.0,32.459016393442624,2.9508196721311473,0.0,0.0,0.0,7.377049180327869,0.0,2.9508196721311473,2.9508196721311473,0.0,0.0,0.0,0.0,2.9508196721311473,2.9508196721311473,0.0,1.4754098360655736,2.9508196721311473,5.9016393442622945,73.77049180327869,2.9508196721311473,0.0,0.0,4.426229508196721,2.9508196721311473,0.0,0.0,7.377049180327869,23.606557377049178,23.606557377049178,4.426229508196721,54.59016393442623,49.1311475409836,2.9508196721311473,98.40983606557377,292.1311475409836,219.83606557377047,1.4754098360655736,4.426229508196721,5.9016393442622945,2.9508196721311473,39.83606557377049,2.9508196721311473,0.0,2.9508196721311473,0.0,0.0,0.0,0.0,0.0,5.9016393442622945,2.9508196721311473,2.9508196721311473,73.77049180327869,1.0,2.2131147540983607,2.6557377049180326,1.4754098360655736,5.9016393442622945,265.57377049180326
5a8f9089-1b3a-55e6-85a5-91a625d3c46f,Nathan Redmond,ENG,23.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,15.0,73.3,4.0,13.0,2.0,1.0,1.0,202.0,88.0,5.0,6.0,83.3,2.0,2.0,100.0,3.0,5.0,60.0,0.2,0.0,2.0,1.0,0.0,14.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,9.0,1.0,17.0,100.0,0.0,0.0,74.0,35.0,0.0,0.0,1.0,2.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,True,2017-2018,LW,None,None,None,0.32222222222222224,Leicester City_Southampton,Leicester City_Southampton_2017,1.5,1.8,1.0,4.0,2017-12-13,Chris Kavanagh,St. Mary's Stadium,Wed,19:45,"27,714",180,Leicester City,Southampton,762c67d1-0dc6-5730-9432-946f86c02ab0,71.37931034482759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.75862068965517,3.103448275862069,0.0,0.0,0.0,0.0,0.0,3.103448275862069,0.0,34.137931034482754,46.55172413793103,227.48275862068962,12.413793103448276,40.3448275862069,6.206896551724138,3.103448275862069,3.103448275862069,626.8965517241379,273.10344827586204,15.517241379310343,18.620689655172413,258.5172413793103,6.206896551724138,6.206896551724138,310.34482758620686,9.310344827586206,15.517241379310343,186.20689655172413,0.6206896551724138,0.0,6.206896551724138,3.103448275862069,0.0,43.44827586206896,3.103448275862069,0.0,0.0,3.103448275862069,9.310344827586206,0.0,3.103448275862069,3.103448275862069,0.0,0.0,0.0,3.103448275862069,0.0,0.0,3.103448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.103448275862069,0.0,0.0,0.0,0.0,24.82758620689655,27.93103448275862,3.103448275862069,52.75862068965517,310.34482758620686,0.0,0.0,229.65517241379308,108.62068965517241,0.0,0.0,3.103448275862069,6.206896551724138,43.44827586206896,15.517241379310343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.206896551724138,0.0,0.0,0.0,1.0,4.655172413793103,5.586206896551724,3.103448275862069,12.413793103448276,558.6206896551723
5a8f9089-1b3a-55e6-85a5-91a625d3c46f,Dusan Tadic,SRB,29.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,19.0,94.7,3.0,15.0,1.0,1.0,1.0,372.0,118.0,9.0,10.0,90.0,4.0,4.0,100.0,4.0,4.0,100.0,0.0,0.0,1.0,1.0,1.0,18.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,13.0,10.0,0.0,27.0,100.0,0.0,0.0,88.0,30.0,0.0,0.0,1.0,1.0,18.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,2017-2018,RW,None,None,None,0.9111111111111111,Leicester City_Southampton,Leicester City_Southampton_2017,1.5,1.8,1.0,4.0,2017-12-13,Chris Kavanagh,St. Mary's Stadium,Wed,19:45,"27,714",180,Leicester City,Southampton,762c67d1-0dc6-5730-9432-946f86c02ab0,31.829268292682926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.634146341463413,3.2926829268292686,1.0975609756097562,0.0,0.0,0.0,0.0,3.2926829268292686,0.0,19.75609756097561,20.853658536585368,103.9390243902439,3.2926829268292686,16.463414634146343,1.0975609756097562,1.0975609756097562,1.0975609756097562,408.2926829268293,129.5121951219512,9.878048780487806,10.975609756097562,98.78048780487805,4.390243902439025,4.390243902439025,109.75609756097562,4.390243902439025,4.390243902439025,109.75609756097562,0.0,0.0,1.0975609756097562,1.0975609756097562,1.0975609756097562,19.75609756097561,1.0975609756097562,0.0,0.0,1.0975609756097562,1.0975609756097562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1951219512195124,0.0,1.0975609756097562,2.1951219512195124,1.0975609756097562,1.0975609756097562,109.75609756097562,0.0,0.0,0.0,4.390243902439025,3.2926829268292686,0.0,0.0,4.390243902439025,14.26829268292683,10.975609756097562,0.0,29.634146341463413,109.75609756097562,0.0,0.0,96.58536585365854,32.926829268292686,0.0,0.0,1.0975609756097562,1.0975609756097562,19.75609756097561,5.487804878048781,0.0,0.0,1.0975609756097562,0.0,0.0,0.0,0.0,1.0975609756097562,0.0,1.0975609756097562,0.0,1.0,1.6463414634146343,1.975609756097561,1.0975609756097562,4.390243902439025,197.5609756097561
5a8f9089-1b3a-55e6-85a5-91a625d3c46f,James Ward-Prowse,ENG,23.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,25.0,1.0,2.0,0.0,0.0,0.0,16.0,11.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,6.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,True,2017-2018,RW,None,None,None,0.08888888888888889,Leicester City_Southampton,Leicester City_Southampton_2017,1.5,1.8,1.0,4.0,2017-12-13,Chris Kavanagh,St. Mary's Stadium,Wed,19:45,"27,714",180,Leicester City,Southampton,762c67d1-0dc6-5730-9432-946f86c02ab0,258.75,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,67.5,0.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,11.25,45.0,281.25,11.25,22.5,0.0,0.0,0.0,180.0,123.75,0.0,11.25,0.0,11.25,22.5,562.5,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0,11.25,45.0,11.25,0.0,67.5,0.0,0.0,0.0,67.5,22.5,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,11.25,0.0,1125.0,1.0,16.875,20.25,11.25,45.0,2025.0
5a8f9089-1b3a-55e6-85a5-91a625d3c46f,Steven Davis,NIR,32.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,45.0,61.0,73.8,9.0,42.0,1.0,1.0,0.0,791.0,225.0,15.0,21.0,71.4,22.0,25.0,88.0,5.0,8.0,62.5,0.2,0.0,8.0,2.0,0.0,55.0,6.0,0.0,0.0,0.0,5.0,0.0,4.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,8.0,43.0,18.0,0.0,68.0,0.0,1.0,100.0,193.0,61.0,1.0,0.0,0.0,3.0,45.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0,True,2017-2018,DM,AM,None,None,1.0,Leicester City_Southampton,Leicester City_Southampton_2017,1.5,1.8,1.0,4.0,2017-12-13,Chris Kavanagh,St. Mary's Stadium,Wed,19:45,"27,714",180,Leicester City,Southampton,762c67d1-0dc6-5730-9432-946f86c02ab0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,45.0,61.0,73.8,9.0,42.0,1.0,1.0,0.0,791.0,225.0,15.0,21.0,71.4,22.0,25.0,88.0,5.0,8.0,62.5,0.2,0.0,8.0,2.0,0.0,55.0,6.0,0.0,0.0,0.0,5.0,0.0,4.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,8.0,43.0,18.0,0.0,68.0,0.0,1.0,100.0,193.0,61.0,1.0,0.0,0.0,3.0,45.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0,1.0,1.5,1.8,1.0,4.0,180.0
5a8f9089-1b3a-55e6-85a5-91a625d3c46f,Mario Lemina,GAB,24.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,47.0,78.7,1.0,35.0,1.0,3.0,3.0,549.0,147.0,20.0,24.0,83.3,13.0,15.0,86.7,2.0,5.0,40.0,0.0,0.0,2.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,0.0,2.0,3.0,66.7,1.0,1.0,1.0,9.0,0.0,0.0,1.0,18.0,36.0,6.0,0.0,60.0,100.0,0.0,0.0,227.0,133.0,0.0,0.0,0.0,5.0,36.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,True,2017-2018,DM,None,None,None,1.0,Leicester City_Southampton,Leicester City_Southampton_2017,1.5,1.8,1.0,4.0,2017-12-13,Chris Kavanagh,St. Mary's Stadium,Wed,19:45,"27,714",180,Leicester City,Southampton,762c67d1-0dc6-5730-9432-946f86c02ab0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,47.0,78.7,1.0,35.0,1.0,3.0,3.0,549.0,147.0,20.0,24.0,83.3,13.0,15.0,86.7,2.0,5.0,40.0,0.0,0.0,2.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,0.0,2.0,3.0,66.7,1.0,1.0,1.0,9.0,0.0,0.0,1.0,18.0,36.0,6.0,0.0,60.0,100.0,0.0,0.0,227.0,133.0,0.0,0.0,0.0,5.0,36.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,1.5,1.8,1.0,4.0,180.0
5a8f9089-1b3a-55e6-85a5-91a625d3c46f,Oriol Romeu,ESP,26.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,1.0,0.0,3.0,0.2,0.2,0.0,0.0,0.0,22.0,25.0,88.0,1.0,17.0,1.0,0.0,0.0,379.0,108.0,11.0,12.0,91.7,9.0,10.0,90.0,2.0,2.0,100.0,0.0,0.0,2.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,25.0,3.0,1.0,32.0,0.0,0.0,0.0,87.0,38.0,2.0,0.0,1.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0,True,2017-2018,DM,None,None,None,0.5,Leicester City_Southampton,Leicester City_Southampton_2017,1.5,1.8,1.0,4.0,2017-12-13,Chris Kavanagh,St. Mary's Stadium,Wed,19:45,"27,714",180,Leicester City,Southampton,762c67d1-0dc6-5730-9432-946f86c02ab0,52.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,64.0,2.0,0.0,6.0,0.4,0.4,0.0,0.0,0.0,44.0,50.0,176.0,2.0,34.0,2.0,0.0,0.0,758.0,216.0,22.0,24.0,183.4,18.0,20.0,180.0,4.0,4.0,200.0,0.0,0.0,4.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,8.0,50.0,6.0,2.0,64.0,0.0,0.0,0.0,174.0,76.0,4.0,0.0,2.0,0.0,44.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,200.0,1.0,3.0,3.6,2.0,8.0,360.0
5a8f9089-1b3a-55e6-85a5-91a625d3c46f,Manolo Gabbiadini,ITA,26.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,92.3,0.0,5.0,0.0,0.0,0.0,129.0,5.0,9.0,9.0,100.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,13.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,True,2017-2018,AM,None,None,None,0.5,Leicester City_Southampton,Leicester City_Southampton_2017,1.5,1.8,1.0,4.0,2017-12-13,Chris Kavanagh,St. Mary's Stadium,Wed,19:45,"27,714",180,Leicester City,Southampton,762c67d1-0dc6-5730-9432-946f86c02ab0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,26.0,184.6,0.0,10.0,0.0,0.0,0.0,258.0,10.0,18.0,18.0,200.0,0.0,0.0,0.0,2.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,2.0,0.0,26.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,2.0,22.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,3.6,2.0,8.0,360.0
5a8f9089-1b3a-55e6-85a5-91a625d3c46f,Ryan Bertrand,ENG,28.0,90.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,61.0,3.0,0.0,0.0,0.1,0.1,0.1,4.0,2.0,37.0,54.0,68.5,6.0,30.0,3.0,3.0,1.0,498.0,229.0,24.0,28.0,85.7,7.0,11.0,63.6,2.0,4.0,50.0,0.1,2.0,4.0,0.0,0.0,41.0,12.0,2.0,0.0,0.0,7.0,8.0,2.0,2.0,0.0,0.0,1.0,4.0,3.0,1.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,25.0,30.0,2.0,61.0,33.3,2.0,66.7,164.0,110.0,2.0,0.0,1.0,0.0,32.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,80.0,True,2017-2018,LB,None,None,None,1.0,Leicester City_Southampton,Leicester City_Southampton_2017,1.5,1.8,1.0,4.0,2017-12-13,Chris Kavanagh,St. Mary's Stadium,Wed,19:45,"27,714",180,Leicester City,Southampton,762c67d1-0dc6-5730-9432-946f86c02ab0,28.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,61.0,3.0,0.0,0.0,0.1,0.1,0.1,4.0,2.0,37.0,54.0,68.5,6.0,30.0,3.0,3.0,1.0,498.0,229.0,24.0,28.0,85.7,7.0,11.0,63.6,2.0,4.0,50.0,0.1,2.0,4.0,0.0,0.0,41.0,12.0,2.0,0.0,0.0,7.0,8.0,2.0,2.0,0.0,0.0,1.0,4.0,3.0,1.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,25.0,30.0,2.0,61.0,33.3,2.0,66.7,164.0,110.0,2.0,0.0,1.0,0.0,32.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,80.0,1.0,1.5,1.8,1.0,4.0,180.0
5a8f9089-1b3a-55e6-85a5-91a625d3c46f,Virgil van Dijk,NED,26.0,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,61.0,1.0,3.0,2.0,0.1,0.1,0.0,0.0,0.0,45.0,49.0,91.8,5.0,39.0,3.0,2.0,2.0,1023.0,362.0,13.0,13.0,100.0,23.0,25.0,92.0,9.0,10.0,90.0,0.0,0.0,7.0,0.0,0.0,46.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,5.0,25.0,35.0,3.0,2.0,61.0,100.0,0.0,0.0,306.0,240.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,100.0,True,2017-2018,CB,None,None,None,1.0,Leicester City_Southampton,Leicester City_Southampton_2017,1.5,1.8,1.0,4.0,2017-12-13,Chris Kavanagh,St. Mary's Stadium,Wed,19:45,"27,714",180,Leicester City,Southampton,762c67d1-0dc6-5730-9432-946f86c02ab0,26.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,61.0,1.0,3.0,2.0,0.1,0.1,0.0,0.0,0.0,45.0,49.0,91.8,5.0,39.0,3.0,2.0,2.0,1023.0,362.0,13.0,13.0,100.0,23.0,25.0,92.0,9.0,10.0,90.0,0.0,0.0,7.0,0.0,0.0,46.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,5.0,25.0,35.0,3.0,2.0,61.0,100.0,0.0,0.0,306.0,240.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,100.0,1.0,1.5,1.8,1.0,4.0,180.0
