matchup_merge_key,player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
85feaa5f-216f-5a82-8d71-5ae1b9de9f33,Eden Hazard,BEL,27.0,89.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,0.3,3.0,2.0,15.0,22.0,68.2,2.0,27.0,2.0,1.0,1.0,202.0,70.0,10.0,13.0,76.9,1.0,2.0,50.0,2.0,3.0,66.7,0.2,2.0,0.0,2.0,0.0,21.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,17.0,9.0,1.0,29.0,100.0,0.0,0.0,136.0,40.0,2.0,0.0,2.0,5.0,31.0,6.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,40.0,True,2018-2019,FW,None,None,None,0.9888888888888889,Chelsea_Manchester City,Chelsea_Manchester City_2018,0.5,0.9,0.0,1.0,2017-09-30,Martin Atkinson,Stamford Bridge,Sat,17:30,"41,530",72,Manchester City,Chelsea,e93eae01-e098-55be-a545-52e748214e80,27.303370786516854,0.0,2.0224719101123596,0.0,0.0,0.0,0.0,0.0,0.0,29.325842696629213,0.0,1.0112359550561798,0.0,0.0,0.0,0.3033707865168539,3.033707865168539,2.0224719101123596,15.168539325842696,22.247191011235955,68.96629213483146,2.0224719101123596,27.303370786516854,2.0224719101123596,1.0112359550561798,1.0112359550561798,204.2696629213483,70.78651685393258,10.112359550561797,13.146067415730336,77.76404494382022,1.0112359550561798,2.0224719101123596,50.561797752808985,2.0224719101123596,3.033707865168539,67.4494382022472,0.20224719101123595,2.0224719101123596,0.0,2.0224719101123596,0.0,21.235955056179776,1.0112359550561798,0.0,0.0,0.0,1.0112359550561798,0.0,1.0112359550561798,1.0112359550561798,0.0,0.0,0.0,1.0112359550561798,0.0,0.0,0.0,0.0,0.0,1.0112359550561798,0.0,1.0112359550561798,0.0,0.0,1.0112359550561798,2.0224719101123596,0.0,0.0,3.033707865168539,17.191011235955056,9.101123595505618,1.0112359550561798,29.325842696629213,101.12359550561797,0.0,0.0,137.52808988764045,40.44943820224719,2.0224719101123596,0.0,2.0224719101123596,5.056179775280898,31.34831460674157,6.067415730337078,0.0,1.0112359550561798,5.056179775280898,0.0,0.0,0.0,0.0,0.0,2.0224719101123596,3.033707865168539,40.44943820224719,1.0,0.5056179775280899,0.9101123595505618,0.0,1.0112359550561798,72.80898876404494
85feaa5f-216f-5a82-8d71-5ae1b9de9f33,Olivier Giroud,FRA,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,True,2018-2019,FW,None,None,None,0.011111111111111112,Chelsea_Manchester City,Chelsea_Manchester City_2018,0.5,0.9,0.0,1.0,2017-09-30,Martin Atkinson,Stamford Bridge,Sat,17:30,"41,530",72,Manchester City,Chelsea,e93eae01-e098-55be-a545-52e748214e80,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,9000.0,0.0,0.0,0.0,0.0,0.0,720.0,630.0,90.0,90.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,9000.0,1.0,45.0,81.0,0.0,90.0,6480.0
85feaa5f-216f-5a82-8d71-5ae1b9de9f33,Willian,BRA,30.0,74.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,28.0,1.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,13.0,20.0,65.0,1.0,15.0,4.0,1.0,1.0,141.0,24.0,8.0,11.0,72.7,4.0,6.0,66.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,7.0,13.0,9.0,3.0,28.0,100.0,0.0,0.0,127.0,82.0,2.0,1.0,1.0,1.0,19.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0,True,2018-2019,LW,None,None,None,0.8222222222222222,Chelsea_Manchester City,Chelsea_Manchester City_2018,0.5,0.9,0.0,1.0,2017-09-30,Martin Atkinson,Stamford Bridge,Sat,17:30,"41,530",72,Manchester City,Chelsea,e93eae01-e098-55be-a545-52e748214e80,36.48648648648649,0.0,0.0,0.0,0.0,2.4324324324324325,2.4324324324324325,0.0,0.0,34.054054054054056,1.2162162162162162,0.0,0.0,0.12162162162162163,0.12162162162162163,0.0,2.4324324324324325,0.0,15.810810810810812,24.324324324324326,79.05405405405406,1.2162162162162162,18.243243243243246,4.864864864864865,1.2162162162162162,1.2162162162162162,171.48648648648648,29.18918918918919,9.72972972972973,13.378378378378379,88.41891891891892,4.864864864864865,7.297297297297297,81.12162162162163,0.0,0.0,0.0,0.0,1.2162162162162162,0.0,0.0,0.0,20.675675675675677,2.4324324324324325,2.4324324324324325,0.0,0.0,2.4324324324324325,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,0.0,1.2162162162162162,1.2162162162162162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,3.6486486486486487,0.0,3.6486486486486487,8.513513513513514,15.810810810810812,10.945945945945946,3.6486486486486487,34.054054054054056,121.62162162162163,0.0,0.0,154.45945945945945,99.72972972972974,2.4324324324324325,1.2162162162162162,1.2162162162162162,1.2162162162162162,23.10810810810811,4.864864864864865,0.0,0.0,2.4324324324324325,0.0,0.0,0.0,0.0,3.6486486486486487,1.2162162162162162,0.0,121.62162162162163,1.0,0.6081081081081081,1.0945945945945947,0.0,1.2162162162162162,87.56756756756756
85feaa5f-216f-5a82-8d71-5ae1b9de9f33,Ruben Loftus-Cheek,ENG,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,80.0,0.0,4.0,1.0,4.0,1.0,38.0,0.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,1.0,9.0,25.0,3.0,75.0,47.0,25.0,1.0,0.0,0.0,1.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,2018-2019,LW,None,None,None,0.17777777777777778,Chelsea_Manchester City,Chelsea_Manchester City_2018,0.5,0.9,0.0,1.0,2017-09-30,Martin Atkinson,Stamford Bridge,Sat,17:30,"41,530",72,Manchester City,Chelsea,e93eae01-e098-55be-a545-52e748214e80,123.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.625,0.0,0.0,5.625,0.0,0.0,0.0,5.625,0.0,22.5,28.125,450.0,0.0,22.5,5.625,22.5,5.625,213.75,0.0,16.875,16.875,562.5,5.625,5.625,562.5,0.0,0.0,0.0,0.0,5.625,0.0,0.0,0.0,28.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625,0.0,0.0,0.0,0.0,5.625,16.875,28.125,5.625,50.625,140.625,16.875,421.875,264.375,140.625,5.625,0.0,0.0,5.625,33.75,16.875,0.0,11.25,0.0,0.0,0.0,0.0,0.0,5.625,0.0,0.0,0.0,1.0,2.8125,5.0625,0.0,5.625,405.0
85feaa5f-216f-5a82-8d71-5ae1b9de9f33,Pedro,ESP,31.0,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,44.0,3.0,4.0,1.0,0.1,0.1,0.1,3.0,0.0,27.0,34.0,79.4,4.0,30.0,0.0,1.0,1.0,384.0,122.0,15.0,16.0,93.8,6.0,11.0,54.5,3.0,3.0,100.0,0.1,1.0,2.0,2.0,2.0,34.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,6.0,16.7,5.0,0.0,1.0,7.0,0.0,0.0,3.0,13.0,23.0,9.0,2.0,44.0,100.0,0.0,0.0,155.0,45.0,1.0,0.0,1.0,0.0,32.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0,True,2018-2019,RW,None,None,None,1.0,Chelsea_Manchester City,Chelsea_Manchester City_2018,0.5,0.9,0.0,1.0,2017-09-30,Martin Atkinson,Stamford Bridge,Sat,17:30,"41,530",72,Manchester City,Chelsea,e93eae01-e098-55be-a545-52e748214e80,31.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,44.0,3.0,4.0,1.0,0.1,0.1,0.1,3.0,0.0,27.0,34.0,79.4,4.0,30.0,0.0,1.0,1.0,384.0,122.0,15.0,16.0,93.8,6.0,11.0,54.5,3.0,3.0,100.0,0.1,1.0,2.0,2.0,2.0,34.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,6.0,16.7,5.0,0.0,1.0,7.0,0.0,0.0,3.0,13.0,23.0,9.0,2.0,44.0,100.0,0.0,0.0,155.0,45.0,1.0,0.0,1.0,0.0,32.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0,1.0,0.5,0.9,0.0,1.0,72.0
85feaa5f-216f-5a82-8d71-5ae1b9de9f33,Mateo Kovacic,CRO,24.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,17.0,88.2,0.0,13.0,1.0,2.0,2.0,168.0,35.0,11.0,12.0,91.7,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,1.0,14.0,9.0,0.0,0.0,23.0,100.0,0.0,0.0,71.0,20.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0,True,2018-2019,LM,None,None,None,0.7111111111111111,Chelsea_Manchester City,Chelsea_Manchester City_2018,0.5,0.9,0.0,1.0,2017-09-30,Martin Atkinson,Stamford Bridge,Sat,17:30,"41,530",72,Manchester City,Chelsea,e93eae01-e098-55be-a545-52e748214e80,33.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.34375,5.625,0.0,0.0,0.0,0.0,0.0,1.40625,0.0,21.09375,23.90625,124.03125,0.0,18.28125,1.40625,2.8125,2.8125,236.25,49.21875,15.46875,16.875,128.953125,4.21875,4.21875,140.625,0.0,1.40625,0.0,0.0,0.0,0.0,0.0,0.0,22.5,1.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8125,5.625,0.0,0.0,0.0,2.8125,0.0,2.8125,0.0,0.0,5.625,2.8125,0.0,1.40625,19.6875,12.65625,0.0,0.0,32.34375,140.625,0.0,0.0,99.84375,28.125,0.0,0.0,0.0,1.40625,21.09375,0.0,0.0,0.0,1.40625,0.0,0.0,0.0,0.0,4.21875,1.40625,0.0,140.625,1.0,0.703125,1.265625,0.0,1.40625,101.25
85feaa5f-216f-5a82-8d71-5ae1b9de9f33,Ross Barkley,ENG,25.0,26.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,1.0,14.0,16.0,87.5,3.0,15.0,0.0,1.0,1.0,186.0,96.0,7.0,8.0,87.5,6.0,7.0,85.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,8.0,10.0,4.0,1.0,22.0,100.0,0.0,0.0,72.0,26.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0,True,2018-2019,LM,None,None,None,0.28888888888888886,Chelsea_Manchester City,Chelsea_Manchester City_2018,0.5,0.9,0.0,1.0,2017-09-30,Martin Atkinson,Stamford Bridge,Sat,17:30,"41,530",72,Manchester City,Chelsea,e93eae01-e098-55be-a545-52e748214e80,86.53846153846155,0.0,0.0,0.0,0.0,6.923076923076923,0.0,0.0,0.0,76.15384615384616,0.0,0.0,0.0,0.3461538461538462,0.3461538461538462,0.0,6.923076923076923,3.4615384615384617,48.46153846153847,55.38461538461539,302.8846153846154,10.384615384615385,51.92307692307693,0.0,3.4615384615384617,3.4615384615384617,643.8461538461539,332.3076923076923,24.230769230769234,27.692307692307693,302.8846153846154,20.76923076923077,24.230769230769234,296.6538461538462,0.0,0.0,0.0,0.0,0.0,3.4615384615384617,3.4615384615384617,0.0,55.38461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.384615384615385,0.0,10.384615384615385,27.692307692307693,34.61538461538462,13.846153846153847,3.4615384615384617,76.15384615384616,346.1538461538462,0.0,0.0,249.23076923076925,90.00000000000001,0.0,0.0,0.0,0.0,48.46153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.846153846153847,6.923076923076923,0.0,346.1538461538462,1.0,1.7307692307692308,3.115384615384616,0.0,3.4615384615384617,249.23076923076925
85feaa5f-216f-5a82-8d71-5ae1b9de9f33,Jorginho,ITA,26.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,37.0,86.5,1.0,22.0,0.0,0.0,0.0,446.0,93.0,22.0,24.0,91.7,5.0,7.0,71.4,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,14.0,27.0,2.0,0.0,43.0,0.0,0.0,0.0,98.0,26.0,1.0,0.0,1.0,1.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0,True,2018-2019,CM,None,None,None,1.0,Chelsea_Manchester City,Chelsea_Manchester City_2018,0.5,0.9,0.0,1.0,2017-09-30,Martin Atkinson,Stamford Bridge,Sat,17:30,"41,530",72,Manchester City,Chelsea,e93eae01-e098-55be-a545-52e748214e80,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,37.0,86.5,1.0,22.0,0.0,0.0,0.0,446.0,93.0,22.0,24.0,91.7,5.0,7.0,71.4,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,14.0,27.0,2.0,0.0,43.0,0.0,0.0,0.0,98.0,26.0,1.0,0.0,1.0,1.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0,1.0,0.5,0.9,0.0,1.0,72.0
85feaa5f-216f-5a82-8d71-5ae1b9de9f33,N'Golo Kante,FRA,27.0,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.0,1.0,1.0,2.0,0.1,0.1,0.1,2.0,0.0,27.0,37.0,73.0,3.0,27.0,4.0,2.0,1.0,414.0,178.0,17.0,20.0,85.0,9.0,11.0,81.8,1.0,1.0,100.0,0.1,2.0,1.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,3.0,22.0,28.0,5.0,2.0,52.0,50.0,1.0,50.0,221.0,130.0,2.0,0.0,3.0,3.0,34.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0,True,2018-2019,RM,None,None,None,1.0,Chelsea_Manchester City,Chelsea_Manchester City_2018,0.5,0.9,0.0,1.0,2017-09-30,Martin Atkinson,Stamford Bridge,Sat,17:30,"41,530",72,Manchester City,Chelsea,e93eae01-e098-55be-a545-52e748214e80,27.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.0,1.0,1.0,2.0,0.1,0.1,0.1,2.0,0.0,27.0,37.0,73.0,3.0,27.0,4.0,2.0,1.0,414.0,178.0,17.0,20.0,85.0,9.0,11.0,81.8,1.0,1.0,100.0,0.1,2.0,1.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,3.0,22.0,28.0,5.0,2.0,52.0,50.0,1.0,50.0,221.0,130.0,2.0,0.0,3.0,3.0,34.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0,1.0,0.5,0.9,0.0,1.0,72.0
85feaa5f-216f-5a82-8d71-5ae1b9de9f33,Marcos Alonso,ESP,27.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,36.0,42.0,85.7,1.0,21.0,2.0,1.0,1.0,431.0,167.0,21.0,23.0,91.3,11.0,14.0,78.6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,33.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,8.0,5.0,0.0,4.0,28.0,22.0,6.0,0.0,56.0,100.0,0.0,0.0,80.0,42.0,0.0,0.0,0.0,2.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,True,2018-2019,LB,None,None,None,1.0,Chelsea_Manchester City,Chelsea_Manchester City_2018,0.5,0.9,0.0,1.0,2017-09-30,Martin Atkinson,Stamford Bridge,Sat,17:30,"41,530",72,Manchester City,Chelsea,e93eae01-e098-55be-a545-52e748214e80,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,36.0,42.0,85.7,1.0,21.0,2.0,1.0,1.0,431.0,167.0,21.0,23.0,91.3,11.0,14.0,78.6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,33.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,8.0,5.0,0.0,4.0,28.0,22.0,6.0,0.0,56.0,100.0,0.0,0.0,80.0,42.0,0.0,0.0,0.0,2.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.5,0.9,0.0,1.0,72.0
85feaa5f-216f-5a82-8d71-5ae1b9de9f33,David Luiz,BRA,31.0,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.0,2.0,1.0,2.0,0.2,0.2,0.0,0.0,0.0,42.0,49.0,85.7,1.0,34.0,0.0,0.0,0.0,968.0,309.0,10.0,11.0,90.9,24.0,26.0,92.3,7.0,11.0,63.6,0.0,0.0,0.0,0.0,0.0,44.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,3.0,7.0,0.0,14.0,42.0,19.0,4.0,1.0,64.0,0.0,0.0,0.0,145.0,55.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,83.3,True,2018-2019,CB,None,None,None,1.0,Chelsea_Manchester City,Chelsea_Manchester City_2018,0.5,0.9,0.0,1.0,2017-09-30,Martin Atkinson,Stamford Bridge,Sat,17:30,"41,530",72,Manchester City,Chelsea,e93eae01-e098-55be-a545-52e748214e80,31.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.0,2.0,1.0,2.0,0.2,0.2,0.0,0.0,0.0,42.0,49.0,85.7,1.0,34.0,0.0,0.0,0.0,968.0,309.0,10.0,11.0,90.9,24.0,26.0,92.3,7.0,11.0,63.6,0.0,0.0,0.0,0.0,0.0,44.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,3.0,7.0,0.0,14.0,42.0,19.0,4.0,1.0,64.0,0.0,0.0,0.0,145.0,55.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,83.3,1.0,0.5,0.9,0.0,1.0,72.0
