season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
2002,6,Birmingham City,0.0,0.0,Aston Villa,3.0,0.0,0,David Elleray,0,0,0,0,4103,Birmingham City,Aston Villa,f4e26297-9548-5e80-81f8-b767bfd667e8,7f9fe033-6fbe-556e-896a-c2b6011ba66a,Birmingham City,Aston Villa,Aston Villa_Birmingham City,Aston Villa_Birmingham City_2002
2002,29,Aston Villa,0.0,0.0,Birmingham City,0.0,2.0,0,Mark Halsey,0,0,0,0,4332,Birmingham City,Aston Villa,9f25ca04-844e-5b18-a3df-eec84b2365c1,7f9fe033-6fbe-556e-896a-c2b6011ba66a,Aston Villa,Birmingham City,Aston Villa_Birmingham City,Aston Villa_Birmingham City_2002
2003,9,Birmingham City,0.0,0.0,Aston Villa,0.0,0.0,0,Mike Riley,0,0,0,0,4512,draw,draw,85bacbd0-1b87-5262-b201-4d9099e36cdc,e7c75cb0-86ee-50ee-8e99-d79619b14b5a,Birmingham City,Aston Villa,Aston Villa_Birmingham City,Aston Villa_Birmingham City_2003
2003,26,Aston Villa,0.0,0.0,Birmingham City,2.0,2.0,0,Jeff Winter,0,0,0,0,4682,draw,draw,cbb3fb5d-76fc-5723-bf7b-f98a869e1fd9,e7c75cb0-86ee-50ee-8e99-d79619b14b5a,Aston Villa,Birmingham City,Aston Villa_Birmingham City,Aston Villa_Birmingham City_2003
2004,17,Aston Villa,0.0,0.0,Birmingham City,1.0,2.0,0,Steve Dunn,0,0,0,0,4972,Birmingham City,Aston Villa,3f6ed064-bbcc-5b19-a20b-22ac9248365e,e637854b-7483-5fc6-ae22-1bfe5acceb19,Aston Villa,Birmingham City,Aston Villa_Birmingham City,Aston Villa_Birmingham City_2004
2004,30,Birmingham City,0.0,0.0,Aston Villa,2.0,0.0,0,Mike Riley,0,0,0,0,5103,Birmingham City,Aston Villa,b18573f8-e39d-5420-99b6-353222212764,e637854b-7483-5fc6-ae22-1bfe5acceb19,Birmingham City,Aston Villa,Aston Villa_Birmingham City,Aston Villa_Birmingham City_2004
2005,9,Birmingham City,0.0,0.0,Aston Villa,0.0,1.0,0,Graham Poll,0,0,0,0,5269,Aston Villa,Birmingham City,46ba0233-4f16-572d-9e45-009a502e5128,df75f0bc-6828-5d50-8a33-68605584e6b7,Birmingham City,Aston Villa,Aston Villa_Birmingham City,Aston Villa_Birmingham City_2005
2005,34,Aston Villa,0.0,0.0,Birmingham City,3.0,1.0,0,Graham Poll,0,0,0,0,5524,Aston Villa,Birmingham City,44aa0269-ce78-528d-a753-3ebccd1f6914,df75f0bc-6828-5d50-8a33-68605584e6b7,Aston Villa,Birmingham City,Aston Villa_Birmingham City,Aston Villa_Birmingham City_2005
2007,13,Birmingham City,0.0,0.0,Aston Villa,1.0,2.0,0,Stephen Bennett,0,0,0,0,6068,Aston Villa,Birmingham City,0d991d1e-8135-56e9-9ff4-d5bf19b96156,f307f459-814b-5241-9e1f-ea4790bbaa93,Birmingham City,Aston Villa,Aston Villa_Birmingham City,Aston Villa_Birmingham City_2007
2007,35,Aston Villa,0.0,0.0,Birmingham City,5.0,1.0,0,Mark Clattenburg,0,0,0,0,6294,Aston Villa,Birmingham City,5d150d78-a40d-580a-a0f6-c1dbbcdb1613,f307f459-814b-5241-9e1f-ea4790bbaa93,Aston Villa,Birmingham City,Aston Villa_Birmingham City,Aston Villa_Birmingham City_2007
2009,5,Birmingham City,0.0,0.0,Aston Villa,0.0,1.0,0,Howard Webb,0,0,0,0,6751,Aston Villa,Birmingham City,4ae1507f-ea83-5533-9cf3-6d71ecbb3779,e5546ba1-80f8-5be4-95aa-5c549912e8de,Birmingham City,Aston Villa,Aston Villa_Birmingham City,Aston Villa_Birmingham City_2009
2009,36,Aston Villa,0.0,0.0,Birmingham City,1.0,0.0,0,Martin Atkinson,0,0,0,0,7060,Aston Villa,Birmingham City,dc71cdf5-d382-5131-8d36-b31ea0c872df,e5546ba1-80f8-5be4-95aa-5c549912e8de,Aston Villa,Birmingham City,Aston Villa_Birmingham City,Aston Villa_Birmingham City_2009
2010,10,Aston Villa,0.0,0.0,Birmingham City,0.0,0.0,0,Howard Webb,0,0,0,0,7182,draw,draw,2977e21d-df8f-5e53-9da3-e716c47ed28e,0dfcb135-c8a4-5c8c-94d0-9bbb50ec0037,Aston Villa,Birmingham City,Aston Villa_Birmingham City,Aston Villa_Birmingham City_2010
2010,23,Birmingham City,0.0,0.0,Aston Villa,1.0,1.0,0,Mark Clattenburg,0,0,0,0,7304,draw,draw,363aeb7e-96e6-5a51-beb8-6fa5bc937366,0dfcb135-c8a4-5c8c-94d0-9bbb50ec0037,Birmingham City,Aston Villa,Aston Villa_Birmingham City,Aston Villa_Birmingham City_2010
