season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
1993,3,Coventry City,0.0,0.0,West Ham,1.0,1.0,0,Stephen Lodge,0,0,0,0,485,draw,draw,454f60e3-10d3-5146-8d8a-d01694099c67,fea35cfe-b8f4-571c-ad98-634695b1ac9a,Coventry City,West Ham,Coventry City_West Ham,Coventry City_West Ham_1993
1993,20,West Ham,0.0,0.0,Coventry City,3.0,2.0,0,Keith Cooper,0,0,0,0,670,West Ham,Coventry City,65818341-69b1-5813-9678-ae4f8f054b2d,fea35cfe-b8f4-571c-ad98-634695b1ac9a,West Ham,Coventry City,Coventry City_West Ham,Coventry City_West Ham_1993
1994,16,West Ham,0.0,0.0,Coventry City,0.0,1.0,0,Mike Reed,0,0,0,0,1093,Coventry City,West Ham,b33938af-af73-5224-8710-add150bac6bd,ff7034e3-2213-5e43-b61c-e8c4867b139b,West Ham,Coventry City,Coventry City_West Ham,Coventry City_West Ham_1994
1994,29,Coventry City,0.0,0.0,West Ham,2.0,0.0,0,Roger Dilkes,0,0,0,0,1226,Coventry City,West Ham,228161ef-afea-59b5-8fd3-d91c1437f804,ff7034e3-2213-5e43-b61c-e8c4867b139b,Coventry City,West Ham,Coventry City_West Ham,Coventry City_West Ham_1994
1995,20,West Ham,0.0,0.0,Coventry City,3.0,2.0,0,Graham Poll,0,0,0,0,1621,West Ham,Coventry City,a159cd93-3d71-50f9-9f77-69d1f509fb77,b4edf66a-5539-5ed7-be77-b17cf8ebbbc8,West Ham,Coventry City,Coventry City_West Ham,Coventry City_West Ham_1995
1995,29,Coventry City,0.0,0.0,West Ham,2.0,2.0,0,Martin Bodenham,0,0,0,0,1659,draw,draw,877c669c-b6c3-5038-9290-3a971269d565,b4edf66a-5539-5ed7-be77-b17cf8ebbbc8,Coventry City,West Ham,Coventry City_West Ham,Coventry City_West Ham_1995
1996,2,West Ham,0.0,0.0,Coventry City,1.0,1.0,0,Steve Dunn,0,0,0,0,1781,draw,draw,bda647e1-4a0c-5bcc-b6e0-81c4933fecf7,7fe65ade-4fda-591f-b9af-a85eed4d51a1,West Ham,Coventry City,Coventry City_West Ham,Coventry City_West Ham_1996
1996,32,Coventry City,0.0,0.0,West Ham,1.0,3.0,0,Mike Reed,0,0,0,0,2074,West Ham,Coventry City,cbdbc1a7-fc60-58ec-916a-734317aec5d7,7fe65ade-4fda-591f-b9af-a85eed4d51a1,Coventry City,West Ham,Coventry City_West Ham,Coventry City_West Ham_1996
1997,4,Coventry City,0.0,0.0,West Ham,1.0,1.0,0,Neale Barry,0,0,0,0,2179,draw,draw,a4cdcbca-1454-5634-9887-e3de89a991cc,e99f2af5-30aa-5415-86e5-bcdf166ffe91,Coventry City,West Ham,Coventry City_West Ham,Coventry City_West Ham_1997
1997,20,West Ham,0.0,0.0,Coventry City,1.0,0.0,0,Graham Poll,0,0,0,0,2337,West Ham,Coventry City,ce7cbd35-8134-5738-ae97-48262e09b9b1,e99f2af5-30aa-5415-86e5-bcdf166ffe91,West Ham,Coventry City,Coventry City_West Ham,Coventry City_West Ham_1997
1998,3,Coventry City,0.0,0.0,West Ham,0.0,0.0,0,Neale Barry,0,0,0,0,2548,draw,draw,a9392220-fd4e-5210-b4ec-912820f28f8d,080d2455-5d11-5f83-bcee-1bedb46183d0,Coventry City,West Ham,Coventry City_West Ham,Coventry City_West Ham_1998
1998,20,West Ham,0.0,0.0,Coventry City,2.0,0.0,0,Paul Durkin,0,0,0,0,2718,West Ham,Coventry City,42db9009-b300-53b0-9b84-b0d6f310cc50,080d2455-5d11-5f83-bcee-1bedb46183d0,West Ham,Coventry City,Coventry City_West Ham,Coventry City_West Ham_1998
1999,9,Coventry City,0.0,0.0,West Ham,1.0,0.0,0,David Elleray,0,0,0,0,2983,Coventry City,West Ham,a1843a7f-b514-5133-84d0-6b5538c90dfb,f44f09dc-6aaa-5a0d-b582-f8abbcd1feb8,Coventry City,West Ham,Coventry City_West Ham,Coventry City_West Ham_1999
1999,34,West Ham,0.0,0.0,Coventry City,5.0,0.0,0,Andy D'Urso,0,0,0,0,3242,West Ham,Coventry City,06a77b60-8b59-5211-8b09-420fe29aee27,f44f09dc-6aaa-5a0d-b582-f8abbcd1feb8,West Ham,Coventry City,Coventry City_West Ham,Coventry City_West Ham_1999
2000,7,Coventry City,0.0,0.0,West Ham,0.0,3.0,0,Neale Barry,0,0,0,0,3349,West Ham,Coventry City,ab361f4e-1984-5f6e-a498-437ad1e2076e,10e20b21-6eda-5fe7-9e0a-19b5894e798b,Coventry City,West Ham,Coventry City_West Ham,Coventry City_West Ham_2000
2000,27,West Ham,0.0,0.0,Coventry City,1.0,1.0,0,Dermot Gallagher,0,0,0,0,3550,draw,draw,fd4da3eb-de11-5a34-8b1e-2e4ce1517449,10e20b21-6eda-5fe7-9e0a-19b5894e798b,West Ham,Coventry City,Coventry City_West Ham,Coventry City_West Ham_2000
