season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
2017,3,West Brom,0.8,1.3,Stoke City,1.0,1.0,2017-08-27,Anthony Taylor,The Hawthorns,Sun,13:30,"22,704",29,draw,draw,41d052d9-c533-5791-8b1e-7562a082f342,4030d8a1-78c8-50a7-8987-cc99fb81c920,West Brom,Stoke City,Stoke City_West Brom,Stoke City_West Brom_2017
2017,19,Stoke City,1.4,2.0,West Brom,3.0,1.0,2017-12-23,Niel Swarbrick,Bill Stokeld Stadium,Sat,15:00,"29,057",200,Stoke City,West Brom,cc44850a-9a6d-575f-9a08-bf9072c61990,4030d8a1-78c8-50a7-8987-cc99fb81c920,Stoke City,West Brom,Stoke City_West Brom,Stoke City_West Brom_2017
2008,14,Stoke City,0.0,0.0,West Brom,1.0,0.0,0,Lee Mason,0,0,0,0,6456,Stoke City,West Brom,2f33175e-af9d-5cb5-9304-ac8b4f9c4a5a,22685cce-3365-5f61-b457-9257cc2ff3b1,Stoke City,West Brom,Stoke City_West Brom,Stoke City_West Brom_2008
2008,31,West Brom,0.0,0.0,Stoke City,0.0,2.0,0,Martin Atkinson,0,0,0,0,6632,Stoke City,West Brom,d13d4e8e-3944-5c83-9271-41b63eff8bf1,22685cce-3365-5f61-b457-9257cc2ff3b1,West Brom,Stoke City,Stoke City_West Brom,Stoke City_West Brom_2008
2010,14,West Brom,0.0,0.0,Stoke City,0.0,3.0,0,Chris Foy,0,0,0,0,7221,Stoke City,West Brom,a668e29f-8d6b-5397-98b7-4e5e82d7ef2f,791395ee-78bb-5f7d-92a0-267854d90a36,West Brom,Stoke City,Stoke City_West Brom,Stoke City_West Brom_2010
2010,28,Stoke City,0.0,0.0,West Brom,1.0,1.0,0,Michael Oliver,0,0,0,0,7361,draw,draw,cc9fde59-5b37-5a72-bd18-a89c9afad27d,791395ee-78bb-5f7d-92a0-267854d90a36,Stoke City,West Brom,Stoke City_West Brom,Stoke City_West Brom_2010
2011,3,West Brom,0.0,0.0,Stoke City,0.0,1.0,0,Mike Dean,0,0,0,0,7491,Stoke City,West Brom,fce18ef6-b018-57c7-a263-1852d547cd94,1e36a14b-cbeb-5ab2-a61a-7617d9ea4696,West Brom,Stoke City,Stoke City_West Brom,Stoke City_West Brom_2011
2011,22,Stoke City,0.0,0.0,West Brom,1.0,2.0,0,Anthony Taylor,0,0,0,0,7680,West Brom,Stoke City,cfd1e86b-e746-58d0-991f-914b8cb349bf,1e36a14b-cbeb-5ab2-a61a-7617d9ea4696,Stoke City,West Brom,Stoke City_West Brom,Stoke City_West Brom_2011
2012,15,West Brom,0.0,0.0,Stoke City,0.0,1.0,0,Kevin Friend,0,0,0,0,7986,Stoke City,West Brom,b72b76a4-1355-55b3-9726-151ea9689548,89ad6258-e874-5e6f-bf52-156489459c7d,West Brom,Stoke City,Stoke City_West Brom,Stoke City_West Brom_2012
2012,30,Stoke City,0.0,0.0,West Brom,0.0,0.0,0,Mike Dean,0,0,0,0,8136,draw,draw,e82561bc-3c09-5211-82db-4a2b735a1d4d,89ad6258-e874-5e6f-bf52-156489459c7d,Stoke City,West Brom,Stoke City_West Brom,Stoke City_West Brom_2012
2013,8,Stoke City,0.0,0.0,West Brom,0.0,0.0,0,Howard Webb,0,0,0,0,8301,draw,draw,f7c404fd-6475-528d-b476-8773affea1ed,d4a8a353-8c83-55b3-9209-b178bd6262fc,Stoke City,West Brom,Stoke City_West Brom,Stoke City_West Brom_2013
2013,38,West Brom,0.0,0.0,Stoke City,1.0,2.0,0,Lee Probert,0,0,0,0,8602,Stoke City,West Brom,d073a5c4-5280-57e2-a6b1-bee1c41d72be,d4a8a353-8c83-55b3-9209-b178bd6262fc,West Brom,Stoke City,Stoke City_West Brom,Stoke City_West Brom_2013
2014,19,Stoke City,0.0,0.0,West Brom,2.0,0.0,0,Roger East,0,0,0,0,8792,Stoke City,West Brom,a1e9ca0d-3c26-5bc5-a252-394d33f31f0c,a18a89b7-6a23-5864-baf9-333161598a49,Stoke City,West Brom,Stoke City_West Brom,Stoke City_West Brom_2014
2014,29,West Brom,0.0,0.0,Stoke City,1.0,0.0,0,Kevin Friend,0,0,0,0,8886,West Brom,Stoke City,e1a04c8a-fa84-59da-87d7-ed361b0c1543,a18a89b7-6a23-5864-baf9-333161598a49,West Brom,Stoke City,Stoke City_West Brom,Stoke City_West Brom_2014
2015,4,Stoke City,0.0,0.0,West Brom,0.0,1.0,0,Michael Oliver,0,0,0,0,9019,West Brom,Stoke City,c47aeeb5-4be0-5fb3-abcd-35064d884186,0811f29d-9289-587c-bbdd-e638a7c830e7,Stoke City,West Brom,Stoke City_West Brom,Stoke City_West Brom_2015
2015,20,West Brom,0.0,0.0,Stoke City,2.0,1.0,0,Lee Mason,0,0,0,0,9180,West Brom,Stoke City,8672a655-171d-5c5f-999c-54ebaf609e5a,0811f29d-9289-587c-bbdd-e638a7c830e7,West Brom,Stoke City,Stoke City_West Brom,Stoke City_West Brom_2015
